id,title,vote,answer,view_num,link,time,author,reputation,combination,issues being discuss,solution,question contain code,Solution type,Solved,answer or highest vote,Symptoms ,SDLC,Special case,Taxonomy_Second,Taxonomy_Third
56787106,Does managed languages lock flush and reload variables of native libraries?,7,1,105,https://stackoverflow.com/questions/56787106/does-managed-languages-lock-flush-and-reload-variables-of-native-libraries,2019-06-27 08:36:33,Jenix,2539,c#|c++|java,"(C code, C# code)if sharedData from C side is not declared as volatile, then is there still a guarantee that Thread 2 can always get the latest value set by Thread 1?","No, and marking it volatile has no effect on threading either way. (1 vote)",,,?,1,Interfacing,Coding,,Invocation mechanism,Explicit interfacing
20248493,PHP: Outputting the system / Shell_exec command output in web browser,7,7,6109,https://stackoverflow.com/questions/20248493/php-outputting-the-system-shell-exec-command-output-in-web-browser,2013-11-27 16:56:40,user2723949,259,javascript|php|shell,"I tried to output a simple ping command on a web page in a similar way( and same time) as it is displaying in terminal, using shell_exec; But it is displaying only after the complete execution, while I needed it to display whenever it is displaying on terminal,",,,,?,4,Interfacing,Coding,,Invocation mechanism,Explicit interfacing
11802505,How to share business concepts across different programming languages?,15,7,1042,https://stackoverflow.com/questions/11802505/how-to-share-business-concepts-across-different-programming-languages,2012-08-03 20:01:11,Lev,687,c#|c++|python,"We develop a distributed system built from components implemented in different programming languages (C++, C# and Python) and communicating one with another across a network.
As a results we heavily struggle with the following two challenges:
Keeping the representation of our business concepts in these three languages in sync
Serialization / deserialization of our business concepts across these languages",,,,?,5,Interfacing,Design,,Interfacing choice,
44722848,C++ non-blocking proxy check/open,10,2,199,https://stackoverflow.com/questions/44722848/c-non-blocking-proxy-check-open,2017-06-23 13:37:35,Damian,713,c++|javascript|php,"A C++ program, executes the command from cmd, but it is hanging, like expecting to finish from PHP or NodeJS.
I am thinking to make PHP and NODEJS comunicating with this C++ app with sqlite or something like that…",The system() function would wait until the process is finished and collect the entire output.(3 votes),,,?,3,Interfacing,Coding,,Invocation mechanism,Implicit interfacing
66077410,Debug a Python C/C++ extension in VSCode on Windows,12,2,597,https://stackoverflow.com/questions/66077410/debug-a-python-c-c-extension-in-vscode-on-windows,2021-06-02 13:27:00,David Duran,"1,635",python|c++|c,,,,"SA2.1, SB1,",?,3,Build,Testing/Debugging,,,
580509,".NET, Java to JavaScript compiler",10,9,2471,https://stackoverflow.com/questions/580509/net-java-to-javascript-compiler,2009-02-24 04:49:13,Graviton,74.8k,c#|java|javascript,What are the .NET or Java to JavaScript compilers that you have used and can recommend?,GWT(9 votes),No,"SA1, SA2.1, SB1, SB2",Yes,9,Interfacing,Design,,Interfacing choice,
1119696,Java Python Integration,54,10,72378,https://stackoverflow.com/questions/1119696/java-python-integration,2009-07-13 14:15:23,Jeff Storey,51.8k,c++|java|python,"a Java app that needs to integrate with a 3rd party library written in Python, JEPP(Java Embedded Python), JNI or others?",use Jython(38 votes),No,"SA1, SA2.1, SB1, SB2",Yes,37,Interfacing,Design,,Interfacing choice,
7033844,Nodejs: Where or How to write complicated business logic?,37,6,16011,https://stackoverflow.com/questions/7033844/nodejs-where-or-how-to-write-complicated-business-logic,2011-08-11 22:44:43,Vishal,16.6k,java|javascript|python,Can I call Java or Python from node.js?,"Some of the more popular libraries: Express, Socket.io, Dnode, Backbone.js, Spine.js, caolan/async and kinds of Database. (28 votes)",No,"SA1, SA2.1, SB1, SB2",Yes,29,Language choice,Design,,,
5700186,Meta programming into several output languages,12,5,518,https://stackoverflow.com/questions/5700186/meta-programming-into-several-output-languages,2011-04-18 08:17:19,Roel,17.8k,c++|javascript|php,Want to find a tool that converts from a language into the two or three output languages,"Haxe can be compiled to JavaScript, Flash/ActionScript, PHP, C++, Java, C#, Python and Lua. (6 votes)",No,"SA1, SB2",Yes,6,Language choice,Design,,,
3031489,Call C methods from C++/Java/C# code?,8,5,1200,https://stackoverflow.com/questions/3031489/call-c-methods-from-c-java-c-code,2010-06-13 07:49:02,Mohit Deshpande,46.6k,c#|c++|java,Can we call C method from other languages?,"C++,C#, Objective-C, and Java can all call C routines.(5 votes)",No,"SA1, SA2.1, SB1, SB2",Yes,5,Interfacing,Design,,Interfacing choice,
